,Unnamed: 0,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
4709,4709,21132,855,816,166,20,21,21,0.0,51,01:41.8,205.367,+2 Laps,ambrosio,12/27/1985,Belgian,2011,15,Japanese Grand Prix,10/9/2011,suzuka,Suzuka,Japan,virgin,British,20.0,3,37,24269,Japanese Grand Prix,Dry,4.0
4711,4711,21124,855,155,15,7,13,13,0.0,53,01:39.7,209.63,Finished,kobayashi,9/13/1986,Japanese,2011,15,Japanese Grand Prix,10/9/2011,suzuka,Suzuka,Japan,sauber,Swiss,10.0,2,24,22299,Japanese Grand Prix,Dry,4.0
4713,4713,21119,855,815,15,17,8,8,4.0,53,01:36.6,216.479,Finished,perez,1/26/1990,Mexican,2011,15,Japanese Grand Prix,10/9/2011,suzuka,Suzuka,Japan,sauber,Swiss,17.0,2,37,24461,Japanese Grand Prix,Dry,4.0
4716,4716,21134,855,24,164,24,23,23,0.0,50,01:42.4,204.134,+3 Laps,liuzzi,8/6/1980,Italian,2011,15,Japanese Grand Prix,10/9/2011,suzuka,Suzuka,Japan,hrt,Spanish,24.0,3,35,22631,Japanese Grand Prix,Dry,4.0
4719,4719,21133,855,817,164,22,22,22,0.0,51,01:41.4,206.09,+2 Laps,ricciardo,7/1/1989,Australian,2011,15,Japanese Grand Prix,10/9/2011,suzuka,Suzuka,Japan,hrt,Spanish,22.0,3,38,22910,Japanese Grand Prix,Dry,4.0
4721,4721,21572,874,1,1,9,5,5,10.0,53,01:37.8,213.842,Finished,hamilton,1/7/1985,British,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,mclaren,British,9.0,2,31,19794,Japanese Grand Prix,Dry,2.0
4723,4723,21571,874,18,1,8,4,4,12.0,53,01:36.6,216.396,Finished,button,1/19/1980,British,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,mclaren,British,3.0,2,35,21099,Japanese Grand Prix,Dry,2.0
4725,4725,21575,874,813,3,12,8,8,4.0,53,01:37.8,213.818,Finished,maldonado,3/9/1985,Venezuelan,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,williams,British,14.0,2,33,21118,Japanese Grand Prix,Dry,2.0
4729,4729,21581,874,811,3,16,14,14,0.0,53,01:36.8,215.92,Finished,bruno_senna,10/15/1983,Brazilian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,williams,British,18.0,4,34,21520,Japanese Grand Prix,Dry,2.0
4731,4731,21569,874,13,6,10,2,2,18.0,53,01:36.9,215.753,Finished,massa,4/25/1981,Brazilian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,ferrari,Italian,11.0,2,36,20778,Japanese Grand Prix,Dry,2.0
4733,4733,21576,874,17,9,2,9,9,2.0,53,01:37.1,215.233,Finished,webber,8/27/1976,Australian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,red_bull,Austrian,2.0,2,26,20691,Japanese Grand Prix,Dry,2.0
4735,4735,21568,874,20,9,1,1,1,25.0,53,01:35.8,218.276,Finished,vettel,7/3/1987,German,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,red_bull,Austrian,1.0,2,37,20346,Japanese Grand Prix,Dry,2.0
4737,4737,21577,874,817,5,14,10,10,1.0,53,01:37.5,214.511,Finished,ricciardo,7/1/1989,Australian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,toro_rosso,Italian,16.0,2,34,21516,Japanese Grand Prix,Dry,2.0
4739,4739,21580,874,818,5,19,13,13,0.0,53,01:37.5,214.339,Finished,vergne,4/25/1990,French,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,toro_rosso,Italian,17.0,2,35,21431,Japanese Grand Prix,Dry,2.0
4741,4741,21574,874,807,10,15,7,7,6.0,53,01:37.9,213.453,Finished,hulkenberg,8/19/1987,German,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,force_india,Indian,10.0,2,31,21688,Japanese Grand Prix,Dry,2.0
4743,4743,21579,874,814,10,11,12,12,0.0,53,01:37.5,214.335,Finished,resta,4/16/1986,British,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,force_india,Indian,12.0,2,32,21344,Japanese Grand Prix,Dry,2.0
4745,4745,21578,874,30,131,23,11,11,0.0,53,01:36.9,215.646,Finished,michael_schumacher,1/3/1969,German,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,mercedes,German,13.0,2,36,20379,Japanese Grand Prix,Dry,2.0
4747,4747,21570,874,155,15,3,3,3,15.0,53,01:36.7,216.233,Finished,kobayashi,9/13/1986,Japanese,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,sauber,Swiss,4.0,2,31,20762,Japanese Grand Prix,Dry,2.0
4748,4748,21589,874,815,15,5,R,22,0.0,18,01:39.0,211.199,Spun off,perez,1/26/1990,Mexican,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,sauber,Swiss,6.0,1,15,21273,Japanese Grand Prix,Dry,2.0
4750,4750,21585,874,37,164,20,18,18,0.0,52,01:39.4,210.417,+1 Lap,rosa,2/24/1971,Spanish,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,hrt,Spanish,21.0,2,36,22487,Japanese Grand Prix,Dry,2.0
4751,4751,21588,874,39,164,24,R,21,0.0,32,01:41.4,206.19,Vibrations,karthikeyan,1/14/1977,Indian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,hrt,Spanish,24.0,1,15,23227,Japanese Grand Prix,Dry,2.0
4753,4753,21582,874,5,207,17,15,15,0.0,52,01:38.0,213.224,+1 Lap,kovalainen,10/19/1981,Finnish,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,caterham,Malaysian,19.0,2,41,22678,Japanese Grand Prix,Dry,2.0
4756,4756,21584,874,808,207,22,17,17,0.0,52,01:38.3,212.572,+1 Lap,petrov,9/8/1984,Russian,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,caterham,Malaysian,23.0,3,48,14250,Japanese Grand Prix,Dry,2.0
4758,4758,21573,874,8,208,7,6,6,8.0,53,01:37.9,213.566,Finished,raikkonen,10/17/1979,Finnish,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,lotus_f1,British,8.0,2,30,21222,Japanese Grand Prix,Dry,2.0
4761,4761,21586,874,154,208,4,19,19,0.0,51,01:38.3,212.717,+2 Laps,grosjean,4/17/1986,French,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,lotus_f1,British,5.0,3,22,21143,Japanese Grand Prix,Dry,2.0
4763,4763,21583,874,10,206,18,16,16,0.0,52,01:38.8,211.685,+1 Lap,glock,3/18/1982,German,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,marussia,Russian,20.0,2,40,21520,Japanese Grand Prix,Dry,2.0
4765,4765,21587,874,819,206,21,R,20,0.0,37,01:40.5,208.026,Engine,pic,2/15/1990,French,2012,15,Japanese Grand Prix,10/7/2012,suzuka,Suzuka,Japan,marussia,Russian,22.0,2,31,42505,Japanese Grand Prix,Dry,2.0
4769,4769,22443,914,18,1,8,5,5,10.0,44,01:51.7,187.119,Finished,button,1/19/1980,British,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,mclaren,British,8.0,4,42,24757,Japanese Grand Prix,Wet,12.0
4774,4774,22452,914,825,1,7,14,14,0.0,43,01:53.5,184.17,+1 Lap,kevin_magnussen,10/5/1992,Danish,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,mclaren,British,7.0,5,40,24361,Japanese Grand Prix,Wet,12.0
4777,4777,22445,914,13,3,4,7,7,6.0,44,01:53.5,184.267,Finished,massa,4/25/1981,Brazilian,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,williams,British,4.0,3,37,24930,Japanese Grand Prix,Wet,12.0
4780,4780,22444,914,822,3,3,6,6,8.0,44,01:54.1,183.213,Finished,bottas,8/28/1989,Finnish,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,williams,British,3.0,3,38,25052,Japanese Grand Prix,Wet,12.0
4781,4781,22460,914,4,6,5,R,22,0.0,2,\N,\N,Electronics,alonso,7/29/1981,Spanish,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,ferrari,Italian,5.0,1,2,1137051,Japanese Grand Prix,Wet,12.0
4786,4786,22450,914,8,6,10,12,12,0.0,43,01:52.4,185.946,+1 Lap,raikkonen,10/17/1979,Finnish,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,ferrari,Italian,10.0,5,43,24768,Japanese Grand Prix,Wet,12.0
4789,4789,22441,914,20,9,9,3,3,15.0,44,01:51.9,186.795,Finished,vettel,7/3/1987,German,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,red_bull,Austrian,9.0,3,29,23443,Japanese Grand Prix,Wet,12.0
4792,4792,22442,914,817,9,6,4,4,12.0,44,01:52.2,186.269,Finished,ricciardo,7/1/1989,Australian,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,red_bull,Austrian,6.0,3,36,25607,Japanese Grand Prix,Wet,12.0
4795,4795,22447,914,818,5,20,9,9,2.0,44,01:53.6,184.086,Finished,vergne,4/25/1990,French,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,toro_rosso,Italian,11.0,3,19,24353,Japanese Grand Prix,Wet,12.0
4799,4799,22449,914,826,5,12,11,11,0.0,43,01:54.0,183.345,+1 Lap,kvyat,4/26/1994,Russian,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,toro_rosso,Italian,13.0,4,39,26554,Japanese Grand Prix,Wet,12.0
4803,4803,22446,914,807,10,13,8,8,4.0,44,01:52.8,185.306,Finished,hulkenberg,8/19/1987,German,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,force_india,Indian,14.0,4,43,24792,Japanese Grand Prix,Wet,12.0
4807,4807,22448,914,815,10,11,10,10,1.0,43,01:53.6,184.095,+1 Lap,perez,1/26/1990,Mexican,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,force_india,Indian,12.0,4,43,25313,Japanese Grand Prix,Wet,12.0
4810,4810,22439,914,1,131,2,1,1,25.0,44,01:51.6,187.322,Finished,hamilton,1/7/1985,British,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,mercedes,German,2.0,3,35,23677,Japanese Grand Prix,Wet,12.0
4813,4813,22440,914,3,131,1,2,2,18.0,44,01:52.6,185.739,Finished,rosberg,6/27/1985,German,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,mercedes,German,1.0,3,33,24862,Japanese Grand Prix,Wet,12.0
4817,4817,22459,914,16,15,14,21,21,0.0,40,01:55.8,180.601,Accident,sutil,1/11/1983,German,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,sauber,Swiss,15.0,4,32,24314,Japanese Grand Prix,Wet,12.0
4820,4820,22451,914,821,15,15,13,13,0.0,43,01:55.4,181.198,+1 Lap,gutierrez,8/5/1991,Mexican,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,sauber,Swiss,16.0,3,34,26943,Japanese Grand Prix,Wet,12.0
4825,4825,22457,914,155,207,19,19,19,0.0,43,01:55.6,180.776,+1 Lap,kobayashi,9/13/1986,Japanese,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,caterham,Malaysian,21.0,5,39,24907,Japanese Grand Prix,Wet,12.0
4829,4829,22455,914,828,207,17,17,17,0.0,43,01:54.7,182.309,+1 Lap,ericsson,9/2/1990,Swedish,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,caterham,Malaysian,19.0,4,39,25655,Japanese Grand Prix,Wet,12.0
4834,4834,22453,914,154,208,16,15,15,0.0,43,01:55.3,181.308,+1 Lap,grosjean,4/17/1986,French,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,lotus_f1,British,18.0,5,43,23785,Japanese Grand Prix,Wet,12.0
4838,4838,22454,914,813,208,22,16,16,0.0,43,01:54.7,182.256,+1 Lap,maldonado,3/9/1985,Venezuelan,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,lotus_f1,British,17.0,4,40,25981,Japanese Grand Prix,Wet,12.0
4841,4841,22456,914,820,206,21,18,18,0.0,43,01:56.5,179.486,+1 Lap,chilton,4/21/1991,British,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,marussia,Russian,22.0,3,23,25278,Japanese Grand Prix,Wet,12.0
4844,4844,22458,914,824,206,18,20,20,0.0,41,01:56.0,180.24,Accident,jules_bianchi,8/3/1989,French,2014,15,Japanese Grand Prix,10/5/2014,suzuka,Suzuka,Japan,marussia,Russian,20.0,3,24,24910,Japanese Grand Prix,Wet,12.0
4846,4846,22806,940,4,1,12,11,11,0.0,52,01:39.6,209.862,+1 Lap,alonso,7/29/1981,Spanish,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,mclaren,British,14.0,2,28,23767,Japanese Grand Prix,Dry,
4848,4848,22811,940,18,1,14,16,16,0.0,52,01:40.1,208.799,+1 Lap,button,1/19/1980,British,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,mclaren,British,16.0,2,27,23801,Japanese Grand Prix,Dry,
4851,4851,22812,940,13,3,5,17,17,0.0,51,01:38.6,212.031,+2 Laps,massa,4/25/1981,Brazilian,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,williams,British,5.0,3,34,24670,Japanese Grand Prix,Dry,
4853,4853,22800,940,822,3,3,5,5,10.0,53,01:38.2,212.795,Finished,bottas,8/28/1989,Finnish,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,williams,British,3.0,2,29,23588,Japanese Grand Prix,Dry,
4855,4855,22799,940,8,6,6,4,4,12.0,53,01:38.0,213.242,Finished,raikkonen,10/17/1979,Finnish,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,ferrari,Italian,6.0,2,28,22584,Japanese Grand Prix,Dry,
4857,4857,22798,940,20,6,4,3,3,15.0,53,01:37.9,213.523,Finished,vettel,7/3/1987,German,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,ferrari,Italian,4.0,2,30,23130,Japanese Grand Prix,Dry,
4859,4859,22810,940,817,9,7,15,15,0.0,52,01:38.9,211.381,+1 Lap,ricciardo,7/1/1989,Australian,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,red_bull,Austrian,7.0,2,24,23225,Japanese Grand Prix,Dry,
4862,4862,22808,940,826,9,20,13,13,0.0,52,01:38.4,212.524,+1 Lap,kvyat,4/26/1994,Russian,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,red_bull,Austrian,10.0,3,34,23381,Japanese Grand Prix,Dry,
4864,4864,22804,940,830,5,17,9,9,2.0,53,01:38.2,212.803,Finished,max_verstappen,9/30/1997,Dutch,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,toro_rosso,Italian,15.0,2,30,23977,Japanese Grand Prix,Dry,
4866,4866,22805,940,832,5,10,10,10,1.0,52,01:38.7,211.835,+1 Lap,sainz,9/1/1994,Spanish,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,toro_rosso,Italian,12.0,2,27,39345,Japanese Grand Prix,Dry,
4869,4869,22801,940,807,10,13,6,6,8.0,53,01:38.3,212.6,Finished,hulkenberg,8/19/1987,German,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,force_india,Indian,11.0,3,42,35760,Japanese Grand Prix,Dry,
4872,4872,22807,940,815,10,9,12,12,0.0,52,01:38.6,212.039,+1 Lap,perez,1/26/1990,Mexican,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,force_india,Indian,9.0,3,36,24267,Japanese Grand Prix,Dry,
4874,4874,22796,940,1,131,2,1,1,25.0,53,01:36.1,217.434,Finished,hamilton,1/7/1985,British,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,mercedes,German,2.0,2,31,23165,Japanese Grand Prix,Dry,
4876,4876,22797,940,3,131,1,2,2,18.0,53,01:37.1,215.191,Finished,rosberg,6/27/1985,German,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,mercedes,German,1.0,2,29,23241,Japanese Grand Prix,Dry,
4878,4878,22809,940,828,15,15,14,14,0.0,52,01:39.3,210.434,+1 Lap,ericsson,9/2/1990,Swedish,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,sauber,Swiss,17.0,2,26,23441,Japanese Grand Prix,Dry,
4880,4880,22815,940,831,15,16,R,20,0.0,49,01:40.1,208.868,Retired,nasr,8/21/1992,Brazilian,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,sauber,Swiss,18.0,2,30,24116,Japanese Grand Prix,Dry,
4882,4882,22802,940,154,208,8,7,7,6.0,53,01:38.2,212.955,Finished,grosjean,4/17/1986,French,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,lotus_f1,British,8.0,2,33,24554,Japanese Grand Prix,Dry,
4884,4884,22803,940,813,208,11,8,8,4.0,53,01:38.1,213.022,Finished,maldonado,3/9/1985,Venezuelan,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,lotus_f1,British,13.0,2,36,23249,Japanese Grand Prix,Dry,
4886,4886,22813,940,834,209,19,18,18,0.0,51,01:41.5,206.029,+2 Laps,rossi,9/25/1991,American,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,manor,British,20.0,2,33,25088,Japanese Grand Prix,Dry,
4889,4889,22814,940,829,209,18,19,19,0.0,50,01:41.5,206.06,+3 Laps,stevens,6/28/1991,British,2015,14,Japanese Grand Prix,9/27/2015,suzuka,Suzuka,Japan,manor,British,19.0,3,42,35760,Japanese Grand Prix,Dry,
4891,4891,23284,964,4,1,15,16,16,0.0,52,01:38.2,212.866,+1 Lap,alonso,7/29/1981,Spanish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,mclaren,British,15.0,2,27,23032,Japanese Grand Prix,Dry,
4893,4893,23286,964,18,1,22,18,18,0.0,52,01:37.2,215.124,+1 Lap,button,1/19/1980,British,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,mclaren,British,17.0,2,36,23342,Japanese Grand Prix,Dry,
4894,4894,23277,964,13,3,12,9,9,2.0,53,01:37.8,213.787,Finished,massa,4/25/1981,Brazilian,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,williams,British,12.0,1,24,22463,Japanese Grand Prix,Dry,
4895,4895,23278,964,822,3,11,10,10,1.0,53,01:37.8,213.658,Finished,bottas,8/28/1989,Finnish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,williams,British,11.0,1,26,25007,Japanese Grand Prix,Dry,
4896,4896,23282,964,825,4,17,14,14,0.0,52,01:38.0,213.24,+1 Lap,kevin_magnussen,10/5/1992,Danish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,renault,French,18.0,1,25,23072,Japanese Grand Prix,Dry,
4897,4897,23280,964,835,4,16,12,12,0.0,52,01:38.0,213.366,+1 Lap,jolyon_palmer,1/20/1991,British,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,renault,French,16.0,1,25,23452,Japanese Grand Prix,Dry,
4899,4899,23273,964,8,6,8,5,5,10.0,53,01:36.0,217.785,Finished,raikkonen,10/17/1979,Finnish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,ferrari,Italian,3.0,2,26,22762,Japanese Grand Prix,Dry,
4901,4901,23272,964,20,6,6,4,4,12.0,53,01:35.1,219.781,Finished,vettel,7/3/1987,German,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,ferrari,Italian,4.0,2,34,22887,Japanese Grand Prix,Dry,
4903,4903,23274,964,817,9,4,6,6,8.0,53,01:35.5,218.877,Finished,ricciardo,7/1/1989,Australian,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,red_bull,Austrian,6.0,2,32,25861,Japanese Grand Prix,Dry,
4905,4905,23270,964,830,9,3,2,2,18.0,53,01:36.4,216.89,Finished,max_verstappen,9/30/1997,Dutch,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,red_bull,Austrian,5.0,2,28,22788,Japanese Grand Prix,Dry,
4907,4907,23281,964,826,5,13,13,13,0.0,52,01:37.6,214.199,+1 Lap,kvyat,4/26/1994,Russian,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,toro_rosso,Italian,13.0,2,23,22943,Japanese Grand Prix,Dry,
4909,4909,23285,964,832,5,14,17,17,0.0,52,01:37.7,213.923,+1 Lap,sainz,9/1/1994,Spanish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,toro_rosso,Italian,14.0,2,37,22938,Japanese Grand Prix,Dry,
4911,4911,23276,964,807,10,9,8,8,4.0,53,01:37.4,214.74,Finished,hulkenberg,8/19/1987,German,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,force_india,Indian,9.0,2,28,22952,Japanese Grand Prix,Dry,
4913,4913,23275,964,815,10,5,7,7,6.0,53,01:36.8,216.061,Finished,perez,1/26/1990,Mexican,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,force_india,Indian,7.0,2,29,22721,Japanese Grand Prix,Dry,
4915,4915,23271,964,1,131,2,3,3,15.0,53,01:35.2,219.703,Finished,hamilton,1/7/1985,British,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,mercedes,German,2.0,2,33,22732,Japanese Grand Prix,Dry,
4917,4917,23269,964,3,131,1,1,1,25.0,53,01:36.0,217.651,Finished,rosberg,6/27/1985,German,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,mercedes,German,1.0,2,29,23150,Japanese Grand Prix,Dry,
4918,4918,23283,964,828,15,18,15,15,0.0,52,01:38.5,212.244,+1 Lap,ericsson,9/2/1990,Swedish,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,sauber,Swiss,19.0,1,26,24011,Japanese Grand Prix,Dry,
4919,4919,23287,964,831,15,19,19,19,0.0,52,01:38.5,212.14,+1 Lap,nasr,8/21/1992,Brazilian,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,sauber,Swiss,20.0,1,25,25131,Japanese Grand Prix,Dry,
4921,4921,23279,964,154,210,7,11,11,0.0,53,01:37.0,215.473,Finished,grosjean,4/17/1986,French,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,haas,American,8.0,2,30,25429,Japanese Grand Prix,Dry,
4923,4923,23288,964,821,210,10,20,20,0.0,52,01:37.8,213.809,+1 Lap,gutierrez,8/5/1991,Mexican,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,haas,American,10.0,2,28,23792,Japanese Grand Prix,Dry,
4925,4925,23289,964,839,209,20,21,21,0.0,52,01:38.4,212.494,+1 Lap,ocon,9/17/1996,French,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,manor,British,21.0,2,31,24256,Japanese Grand Prix,Dry,
4927,4927,23290,964,836,209,21,22,22,0.0,52,01:38.0,213.318,+1 Lap,wehrlein,10/18/1994,German,2016,17,Japanese Grand Prix,10/9/2016,suzuka,Suzuka,Japan,manor,British,22.0,2,32,25461,Japanese Grand Prix,Dry,
4928,4928,23692,984,4,1,20,11,11,0.0,52,01:35.1,219.797,+1 Lap,alonso,7/29/1981,Spanish,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,mclaren,British,10.0,1,25,24636,Japanese Grand Prix,Dry,8.0
4930,4930,23695,984,838,1,9,14,14,0.0,52,01:33.7,223.05,+1 Lap,vandoorne,3/26/1992,Belgian,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,mclaren,British,11.0,2,34,23399,Japanese Grand Prix,Dry,8.0
4931,4931,23691,984,13,3,8,10,10,1.0,52,01:35.9,217.891,+1 Lap,massa,4/25/1981,Brazilian,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,williams,British,9.0,1,17,22956,Japanese Grand Prix,Dry,8.0
4933,4933,23697,984,840,3,15,R,16,0.0,45,01:34.5,221.106,Wheel,stroll,10/29/1998,Canadian,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,williams,British,18.0,2,35,22736,Japanese Grand Prix,Dry,8.0
4934,4934,23698,984,807,4,11,R,17,0.0,40,01:35.9,218.028,Front wing,hulkenberg,8/19/1987,German,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,renault,French,12.0,1,38,23199,Japanese Grand Prix,Dry,8.0
4935,4935,23693,984,835,4,18,12,12,0.0,52,01:34.1,222.171,+1 Lap,jolyon_palmer,1/20/1991,British,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,renault,French,14.0,1,39,25618,Japanese Grand Prix,Dry,8.0
4936,4936,23686,984,8,6,10,5,5,10.0,53,01:33.2,224.364,Finished,raikkonen,10/17/1979,Finnish,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,ferrari,Italian,6.0,1,28,23699,Japanese Grand Prix,Dry,8.0
4937,4937,23684,984,817,9,3,3,3,15.0,53,01:33.7,223.122,Finished,ricciardo,7/1/1989,Australian,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,red_bull,Austrian,4.0,1,25,23796,Japanese Grand Prix,Dry,8.0
4938,4938,23683,984,830,9,4,2,2,18.0,53,01:33.7,223.036,Finished,max_verstappen,9/30/1997,Dutch,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,red_bull,Austrian,5.0,1,21,22620,Japanese Grand Prix,Dry,8.0
4940,4940,23694,984,842,5,14,13,13,0.0,52,01:34.5,221.141,+1 Lap,gasly,2/7/1996,French,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,toro_rosso,Italian,17.0,2,39,24413,Japanese Grand Prix,Dry,8.0
4941,4941,23688,984,815,10,7,7,7,6.0,53,01:34.7,220.649,Finished,perez,1/26/1990,Mexican,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,force_india,Indian,8.0,1,21,23634,Japanese Grand Prix,Dry,8.0
4942,4942,23687,984,839,10,5,6,6,8.0,53,01:34.8,220.419,Finished,ocon,9/17/1996,French,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,force_india,Indian,7.0,1,20,24078,Japanese Grand Prix,Dry,8.0
4943,4943,23682,984,1,131,1,1,1,25.0,53,01:33.8,222.917,Finished,hamilton,1/7/1985,British,2017,16,Japanese Grand Prix,10/8/2017,suzuka,Suzuka,Japan,mercedes,German,1.0,1,22,22724,Japanese Grand Prix,Dry,8.0
